ProductID,Description,Categorie,Prix,Nombre_Avis,Base_Feature,Feature_Square,Feature_Sqrt,Feature_Log,Feature_Exp,Feature_Cat_Mult,Note
1,Without focus father mission sister.,Fruits,38.08,51,36.34043011834817,1320.626861186547,6.028302424260762,3.5929308988459217,1.4382172146339343,36.34043011834817,0.26980449738095125
2,Push indicate candidate sea.,Fruits,95.12,71,45.33289753250001,2055.071598692146,6.732970929129281,3.8140329837680587,1.5735417577865876,45.33289753250001,0.36605848891299714
3,Ago begin meet season.,Snacks,73.47,480,40.78203978231835,1663.1747688065966,6.386081723742529,3.7082417830792647,1.5035370983831116,122.34611934695505,1.1355899664884832
4,Minute without myself individual.,Boissons,60.27,560,84.90151960375974,7208.268031027599,9.214202060067912,4.441491991905763,2.337343892603449,169.80303920751948,1.6626725459204597
5,Test find structure such.,Boissons,16.45,19,34.73180296911105,1206.2981374851513,5.893369407148262,3.5476557792901926,1.415266750653484,69.4636059382221,0.6013035849650836
6,Certainly either leg better.,Boissons,16.44,774,75.98377207959268,5773.5336194434885,8.71686710232482,4.330519792218048,2.1379292508874053,151.96754415918537,1.4700181015908187
7,Reflect reduce example close describe.,Fruits,6.75,84,18.465383820572985,340.9703996410786,4.2971367002427305,2.9158978344720823,1.2028020039548666,18.465383820572985,0.08410260334269691
8,Member policy she everybody will great.,Viandes,86.75,155,95.6256735235974,9144.269436841636,9.778838045677892,4.560441335505921,2.6019384768163647,478.128367617987,4.77533269655458
9,Type people treatment him talk lay.,Fruits,60.51,565,66.00849735236966,4357.121722717792,8.12456136369033,4.18978348150232,1.9349567475095883,66.00849735236966,0.5941668004184081
10,Here them his mean fly foot.,Viandes,71.1,619,73.60467193401041,5417.6477305133,8.57931651904803,4.2987085010845,2.08766604968806,368.02335967005206,3.634713589443114
11,Reduce any since.,Produits laitiers,3.04,357,36.82353988850059,1355.973089919994,6.068240262918121,3.606137311555839,1.4451821932132567,147.29415955400236,1.3834692445067578
12,Learn clearly traditional visit once.,Fruits,97.02,816,47.08869118373032,2217.3448373967212,6.862120021081701,3.852032869936954,1.6014138764808252,47.08869118373032,0.38506424279655876
13,Wall down pull difficult center.,Fruits,83.41,647,30.140054764387862,908.4229012002995,5.489995880179499,3.4058550101969596,1.3517506736635716,30.140054764387862,0.20451586878709432
14,Foreign finish moment gas strategy.,Fruits,22.02,443,93.92824772220015,8822.515720162999,9.691658667235457,4.542531168687096,2.5581452321818383,93.92824772220015,0.9168726290520494
15,Skin administration seek available.,Boissons,19.0,69,53.92940023912399,2908.380210151627,7.3436639519468745,3.987675788188167,1.7147957929998174,107.85880047824799,1.0009291117013852
16,After none growth detail.,Boissons,19.16,523,66.7403304092191,4454.271703131735,8.16947552840567,4.200809424003498,1.9491693434281032,133.4806608184382,1.2721313143829915
17,Doctor short catch without.,Viandes,31.12,143,76.08448274776438,5788.8485149948565,8.72264195916377,4.331844338001915,2.1400834582972723,380.4224137388219,3.7626407293105744
18,Because recognize management identify.,Viandes,52.95,192,43.399548198958506,1883.5207838737224,6.587833346325521,3.770449030889927,1.5434118949497186,216.99774099479254,2.0872173470931012
19,Product one learn.,Fruits,43.76,387,74.80914890852272,5596.408760417526,8.64922822617849,4.314940189112242,2.1129635520179693,74.80914890852272,0.694081454606734
20,Investment fact pass from.,Viandes,29.83,378,70.83932407807062,5018.209835837915,8.416610011047833,4.2604142713399,2.0307257485866947,354.1966203903531,3.492212354445701
21,Meet court but enjoy since.,Boissons,61.57,581,73.50934004865519,5403.623074388822,8.573758805136473,4.297412473637292,2.0856767866346146,147.01868009731038,1.4168642544091312
22,Sell true should four science source.,Viandes,14.81,535,54.03069101841516,2919.3155719274487,7.350557191017233,3.9895522373062113,1.7165336029938618,270.15345509207583,2.6296057971833413
23,Style then financial for likely ago.,Produits laitiers,29.92,693,44.46436440624554,1977.079702051395,6.668160496437195,3.794688068501054,1.55993420495711,177.85745762498215,1.6952429774971816
24,Nice drop key student. Skill maybe it.,Boissons,37.27,293,29.987396938809084,899.2439751656964,5.476074957376778,3.4007771913548743,1.3496886947644293,59.97479387761817,0.5038345243043326
25,Head past dark apply lay major.,Produits laitiers,46.15,9,84.21637175208036,7092.397271084599,9.176947845121513,4.433389341208308,2.321384366743167,336.86548700832145,3.3379837392779397
26,Rock sense box form.,Viandes,78.73,271,64.75150418785108,4192.757294589296,8.046831934858034,4.170556931010221,1.910786699626412,323.7575209392554,3.1790819727555677
27,Chair identify leave author fight have.,Snacks,20.77,387,49.99169764877455,2499.1698338064907,7.0704807226082265,3.9118569446163036,1.648584393751587,149.97509294632363,1.4199423470119892
28,May her perform between do.,Fruits,51.91,93,94.95963160395503,9017.331634358856,9.744723269747327,4.553451870807314,2.5846660604562333,94.95963160395503,0.929113411716661
29,Arm receive us recognize account.,Boissons,59.65,966,14.305493125633493,204.64713356754714,3.7822603196545703,2.6606435981647167,1.1537931792341758,28.610986251266986,0.18560926020035426
30,See nature hope hot song machine you.,Produits laitiers,5.6,529,86.51547506845428,7484.927426320334,9.301369526497389,4.460323300462168,2.3753736482342322,346.0619002738171,3.434036554879332
